game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2017_01_ATL_CHI,ATL,2017_ATL_A.png,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2017_01_PIT_CLE,PIT,2017_PIT_B2.png,#000000,#000000,#000000,#fdd736,#fcd638,#000000,#000000,#000000
2017_01_IND_LA,IND,2017_IND_C.png,#12356b,#11356a,#12356a,#ffffff,#fefefe,#fefefe,#f9f9eb,#12356a
2017_01_SEA_GB,SEA,2017_SEA_C.png,#fefefe,#ffffff,#ffffff,#212639,#24293c,#27445c,#0c2135,#24283b
2017_01_CAR_SF,CAR,2017_CAR_A.png,#fefefe,#ffffff,#ffffff,#0087d5,#fefefe,#000000,#b5beca,#0087d4
2017_01_NYG_DAL,NYG,2017_NYG_C.png,#2a367e,#2a367e,#2a367d,#aab3ac,#a9b3ac,#fefefe,#000062,#2a357d
2017_01_NO_MIN,NO,2017_NO_B.png,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000,#c7be8c,#000000
2017_01_LAC_DEN,LAC,2017_LAC_B.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#15457a,#f6f6e5,#02172e
2017_02_HOU_CIN,HOU,2017_HOU_H.png,#03182f,#02172f,#03182f,#02152c,#03182f,#b1242d,#03182e,#02172e
2017_02_PHI_KC,PHI,2017_PHI_A.png,#fefefe,#ffffff,#ffffff,#000000,#fefefe,#255163,#003333,#000000
2017_02_BUF_CAR,BUF,2017_BUF_C.png,#00338d,#00328d,#00338d,#ffffff,#fefefe,#fefefe,#f9f9eb,#00338c
2017_02_NE_NO,NE,2017_NE_A.png,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#b6bec8,#ffffff
2017_02_TEN_JAX,TEN,2017_TEN_F.png,#81b7e6,#81b7e5,#81b7e6,#ffffff,#fefefe,#fefefe,#f9f9eb,#02172e
2017_02_MIN_PIT,MIN,2017_MIN_B.png,#fefefe,#ffffff,#ffffff,#391e84,#3c2185,#3c2084,#4e2a5a,#351d77
2017_02_ARI_IND,ARI,2017_ARZ_A.png,#fefefe,#ffffff,#c9596e,#ffffff,#fefefe,#797979,#f9f9eb,#ad0024
2017_02_CHI_TB,CHI,2017_CHI_E.png,#03182f,#02172f,#03182f,#ffffff,#fefefe,#03182f,#03182e,#dc4813
2017_02_CLE_BAL,CLE,2017_CLE_B.png,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#d23500,#ff3d00,#fe3c00
2017_02_MIA_LAC,MIA,2017_MIA_C.png,#008d97,#008d96,#008d97,#ffffff,#fefefe,#fefefe,#f9f9eb,#008c96
2017_02_NYJ_OAK,NYJ,2017_NYJ_C.png,#fefefe,#ffffff,#ffffff,#2a5139,#2c533c,#193631,#f9f9eb,#ffffff
2017_02_DAL_DEN,DAL,2017_DAL_A.png,#fefefe,#ffffff,#ffffff,#8cbcb9,#8dbcb9,#002675,#b2bfcb,#002676
2017_02_SF_SEA,SF,2017_SF_A.png,#fefefe,#ffffff,#ffffff,#d2ad7c,#d1ad7d,#ba0814,#bf9e79,#bb0915
2017_02_WAS_LA,WAS,2017_WAS_D.png,#800000,#800000,#800000,#f4c900,#f2c800,#fefefe,#800000,#f4cc00
2017_02_GB_ATL,GB,2017_GB_A.png,#fefefe,#ffffff,#ffffff,#fbbf0d,#fbbf11,#004000,#fbbf11,#004000
2017_02_DET_NYG,DET,2017_DET_A.png,#fefefe,#ffffff,#ffffff,#1864bb,#1b66bb,#497da6,#cbd1dc,#0761b0
2017_03_LA_SF,LA,2017_LAR_E.png,#f2c800,#f2c800,#f2c800,#131f3a,#f2c800,#15213d,#071430,#f1c700
2017_03_BAL_JAX,BAL,2017_BAL_B.png,#ffffff,#ffffff,#fefefe,#000000,#000000,#2a0364,#000000,#000000
2017_03_CLE_IND,CLE,2017_CLE_B.png,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#d23500,#ff3d00,#fe3c00
2017_03_NO_CAR,NO,2017_NO_C.png,#000000,#000000,#000000,#eddfad,#ecdead,#ebdead,#c7be8c,#000000
2017_03_HOU_NE,HOU,2017_HOU_B.png,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#b1242d,#03182e,#02172e
2017_03_MIA_NYJ,MIA,2017_MIA_B.png,#fefefe,#ffffff,#ffffff,#008c97,#008d97,#008c96,#f9f9eb,#008c96
2017_03_PIT_CHI,PIT,2017_PIT_A2.png,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
